symbol,period_end,report_date,fiscal_quarter,report_type,filing_lag_days,revenue,net_income,operating_cashflow,debt_to_equity,gross_margin,net_margin,roe,revenue_yoy,eps_estimate,eps_actual,eps_surprise,eps_surprise_pct
GAMM,2019-12-31,2020-02-03,4,annual,34,21248.16,3717.41,4090.18,0.69,0.224,0.175,0.078,,1.096,1.118,0.022,0.02
GAMM,2020-03-31,2020-05-11,1,quarterly,40,21417.05,2700.65,3170.64,1.579,0.185,0.126,0.147,0.021,1.09,1.014,-0.076,-0.07
GAMM,2020-06-30,2020-08-04,2,quarterly,35,21604.18,2231.28,2191.99,0.662,0.184,0.103,0.064,0.024,0.86,0.828,-0.032,-0.037
GAMM,2020-09-30,2020-10-26,3,quarterly,26,22111.04,3352.53,3712.41,1.146,0.216,0.152,0.06,0.053,0.957,0.998,0.041,0.043
GAMM,2020-12-31,2021-02-09,4,annual,40,22484.95,1529.13,2087.23,1.709,0.126,0.068,0.089,0.058,0.943,0.98,0.038,0.04
GAMM,2021-03-31,2021-04-22,1,quarterly,22,22676.2,2179.68,2724.24,1.167,0.165,0.096,0.065,0.059,1.092,1.112,0.021,0.019
GAMM,2021-06-30,2021-07-27,2,quarterly,27,22955.94,2198.04,1871.37,0.601,0.159,0.096,0.117,0.063,0.705,0.805,0.101,0.143
GAMM,2021-09-30,2021-11-09,3,quarterly,40,23315.1,1800.84,2724.79,0.318,0.143,0.077,0.044,0.054,0.994,0.941,-0.053,-0.054
GAMM,2021-12-31,2022-02-07,4,annual,37,23250.39,2498.69,3002.66,1.038,0.16,0.107,0.092,0.034,1.029,0.965,-0.064,-0.062
GAMM,2022-03-31,2022-04-28,1,quarterly,28,23614.61,4486.04,5030.19,0.837,0.237,0.19,0.06,0.041,1.139,1.095,-0.044,-0.039
GAMM,2022-06-30,2022-07-22,2,quarterly,22,23848.82,2679.93,2901.6,0.969,0.182,0.112,0.136,0.039,0.997,0.863,-0.134,-0.134
GAMM,2022-09-30,2022-11-03,3,quarterly,34,24175.85,1983.31,1779.09,0.461,0.15,0.082,0.123,0.037,0.805,0.816,0.011,0.014
GAMM,2022-12-30,2023-02-06,4,annual,36,24345.84,2730.5,3411.48,0.807,0.165,0.112,0.095,0.047,0.987,1.023,0.036,0.036
GAMM,2023-03-31,2023-04-20,1,quarterly,20,24617.41,4562.13,4540.05,0.983,0.253,0.185,0.086,0.042,0.742,0.662,-0.08,-0.107
GAMM,2023-06-30,2023-07-31,2,quarterly,30,24899.01,3010.12,3389.56,1.284,0.173,0.121,0.066,0.044,0.831,0.866,0.035,0.043
GAMM,2023-09-29,2023-11-10,3,quarterly,42,25156.5,1120.26,1320.19,1.125,0.114,0.045,0.087,0.041,0.711,0.809,0.098,0.138
GAMM,2023-12-29,2024-01-30,4,annual,32,25333.55,3117.39,3083.66,0.77,0.186,0.123,0.016,0.041,1.036,1.187,0.151,0.146
GAMM,2024-03-29,2024-04-25,1,quarterly,27,25336.26,1665.38,1977.4,1.462,0.138,0.066,0.096,0.029,1.202,1.061,-0.141,-0.117
GAMM,2024-06-28,2024-07-19,2,quarterly,21,25482.06,1857.14,2279.29,1.12,0.151,0.073,0.113,0.023,0.842,0.936,0.093,0.111
GAMM,2024-09-30,2024-11-13,3,quarterly,44,25589.72,2315.1,2077.01,1.25,0.146,0.09,0.105,0.017,1.009,0.918,-0.091,-0.09
GAMM,2024-12-31,2025-02-06,4,annual,37,25545.03,3485.48,4134.64,0.739,0.189,0.136,0.064,0.008,0.837,0.944,0.108,0.129
